N,<C,M,Q1,Q2,Q3>,Output,Error
4,"<1,1,1,1,2>",out_N4_C1_M1_1-1-2.png,13846799
4,"<1,1,1,2,1>",out_N4_C1_M1_1-2-1.png,13927589
4,"<1,1,2,1,1>",out_N4_C1_M1_2-1-1.png,13737203
4,"<1,2,1,1,2>",out_N4_C1_M2_1-1-2.png,3404664
4,"<1,2,1,2,1>",out_N4_C1_M2_1-2-1.png,3306703
4,"<1,2,2,1,1>",out_N4_C1_M2_2-1-1.png,3380230
4,"<2,1,1,1,2>",out_N4_C2_M1_1-1-2.png,19745007
4,"<2,1,1,2,1>",out_N4_C2_M1_1-2-1.png,19014671
4,"<2,1,2,1,1>",out_N4_C2_M1_2-1-1.png,16233553
4,"<2,2,1,1,2>",out_N4_C2_M2_1-1-2.png,4202330
4,"<2,2,1,2,1>",out_N4_C2_M2_1-2-1.png,6753180
4,"<2,2,2,1,1>",out_N4_C2_M2_2-1-1.png,6275459
6,"<1,1,1,1,4>",,11730021
6,"<1,1,1,2,3>",,9548293
6,"<1,1,1,3,2>",,9568243
6,"<1,1,1,4,1>",,11829199
6,"<1,1,2,1,3>",,9357907
6,"<1,1,2,2,2>",,7890745
6,"<1,1,2,3,1>",,9458647
6,"<1,1,3,1,2>",,9291649
6,"<1,1,3,2,1>",,9372439
6,"<1,1,4,1,1>",,11601643
6,"<1,2,1,1,4>",,3007407
6,"<1,2,1,2,3>",,2202280
6,"<1,2,1,3,2>",,2176861
6,"<1,2,1,4,1>",,2851275
6,"<1,2,2,1,3>",,2275807
6,"<1,2,2,2,2>",,1723361
6,"<1,2,2,3,1>",,2152427
6,"<1,2,3,1,2>",,2346789
6,"<1,2,3,2,1>",,2248828
6,"<1,2,4,1,1>",,3015091
6,"<2,1,1,1,4>",,18540844
6,"<2,1,1,2,3>",,15957858
6,"<2,1,1,3,2>",,17148474
6,"<2,1,1,4,1>",,19214042
6,"<2,1,2,1,3>",,11060419
6,"<2,1,2,2,2>",,8973445
6,"<2,1,2,3,1>",,12755721
6,"<2,1,3,1,2>",,10036539
6,"<2,1,3,2,1>",,10218836
6,"<2,1,4,1,1>",,12874113
6,"<2,2,1,1,4>",,3987587
